[49] train-err:0.239420 train-nlik:0.704271 valid-err:0.234200 valid-nlik:0.694372 test-err:0.228200 test-nlik:0.690451
[50] train-err:0.184480 train-nlik:0.590550 valid-err:0.184700 valid-nlik:0.588947 test-err:0.178900 test-nlik:0.580144
[51] train-err:0.180900 train-nlik:0.584074 valid-err:0.184300 valid-nlik:0.579203 test-err:0.175800 test-nlik:0.574306
[52] train-err:0.157000 train-nlik:0.557525 valid-err:0.158100 valid-nlik:0.552830 test-err:0.152900 test-nlik:0.550305
[53] train-err:0.155740 train-nlik:0.553076 valid-err:0.157100 valid-nlik:0.550868 test-err:0.150500 test-nlik:0.545087
[54] train-err:0.150340 train-nlik:0.561892 valid-err:0.150800 valid-nlik:0.559109 test-err:0.148900 test-nlik:0.555330
[55] train-err:0.151720 train-nlik:0.565223 valid-err:0.149800 valid-nlik:0.563886 test-err:0.149300 test-nlik:0.556435
[56] train-err:0.150640 train-nlik:0.562679 valid-err:0.151300 valid-nlik:0.562502 test-err:0.146600 test-nlik:0.553411
[57] train-err:0.149880 train-nlik:0.558356 valid-err:0.150200 valid-nlik:0.558363 test-err:0.146300 test-nlik:0.548859
[58] train-err:0.148580 train-nlik:0.557847 valid-err:0.147000 valid-nlik:0.558421 test-err:0.143700 test-nlik:0.547564
[59] train-err:0.145260 train-nlik:0.558184 valid-err:0.144900 valid-nlik:0.559205 test-err:0.141000 test-nlik:0.548508
[60] train-err:0.144600 train-nlik:0.555558 valid-err:0.144600 valid-nlik:0.555895 test-err:0.140100 test-nlik:0.545204
[61] train-err:0.142160 train-nlik:0.550357 valid-err:0.141900 valid-nlik:0.550615 test-err:0.140700 test-nlik:0.541369
[62] train-err:0.144200 train-nlik:0.549686 valid-err:0.143600 valid-nlik:0.550088 test-err:0.140700 test-nlik:0.540670
[63] train-err:0.145580 train-nlik:0.555526 valid-err:0.146000 valid-nlik:0.556102 test-err:0.142800 test-nlik:0.546574
[64] train-err:0.146160 train-nlik:0.553195 valid-err:0.146900 valid-nlik:0.554097 test-err:0.143800 test-nlik:0.544207
[65] train-err:0.145360 train-nlik:0.550747 valid-err:0.145200 valid-nlik:0.551426 test-err:0.143400 test-nlik:0.540785
[66] train-err:0.143900 train-nlik:0.548892 valid-err:0.144100 valid-nlik:0.549179 test-err:0.139900 test-nlik:0.538395
[67] train-err:0.141980 train-nlik:0.548793 valid-err:0.142600 valid-nlik:0.548723 test-err:0.137800 test-nlik:0.538176
[68] train-err:0.140900 train-nlik:0.545358 valid-err:0.142300 valid-nlik:0.545013 test-err:0.137100 test-nlik:0.534631
[69] train-err:0.139300 train-nlik:0.542376 valid-err:0.140600 valid-nlik:0.542486 test-err:0.136400 test-nlik:0.531549
[70] train-err:0.142060 train-nlik:0.546105 valid-err:0.141700 valid-nlik:0.545972 test-err:0.136000 test-nlik:0.535019
[71] train-err:0.141260 train-nlik:0.544740 valid-err:0.141500 valid-nlik:0.544451 test-err:0.135300 test-nlik:0.533350
[72] train-err:0.142380 train-nlik:0.546708 valid-err:0.142800 valid-nlik:0.546641 test-err:0.135900 test-nlik:0.535537
[73] train-err:0.140120 train-nlik:0.544795 valid-err:0.140900 valid-nlik:0.544677 test-err:0.134900 test-nlik:0.533505
[74] train-err:0.140380 train-nlik:0.542828 valid-err:0.141200 valid-nlik:0.542594 test-err:0.134100 test-nlik:0.531479
[75] train-err:0.141040 train-nlik:0.542613 valid-err:0.142300 valid-nlik:0.542147 test-err:0.134600 test-nlik:0.530962
[76] train-err:0.140780 train-nlik:0.541715 valid-err:0.141000 valid-nlik:0.541178 test-err:0.134800 test-nlik:0.529986
[77] train-err:0.141160 train-nlik:0.543775 valid-err:0.140600 valid-nlik:0.542817 test-err:0.134600 test-nlik:0.532281
[78] train-err:0.141080 train-nlik:0.542644 valid-err:0.140300 valid-nlik:0.541546 test-err:0.134500 test-nlik:0.530554
[79] train-err:0.139760 train-nlik:0.542824 valid-err:0.140000 valid-nlik:0.542050 test-err:0.132300 test-nlik:0.530759
[80] train-err:0.139680 train-nlik:0.543369 valid-err:0.140800 valid-nlik:0.542513 test-err:0.133000 test-nlik:0.531004
[81] train-err:0.139540 train-nlik:0.543712 valid-err:0.140800 valid-nlik:0.542855 test-err:0.132400 test-nlik:0.531412
[82] train-err:0.139920 train-nlik:0.544443 valid-err:0.141100 valid-nlik:0.543748 test-err:0.133000 test-nlik:0.531591
[83] train-err:0.140260 train-nlik:0.544975 valid-err:0.141200 valid-nlik:0.544299 test-err:0.131900 test-nlik:0.532379
[84] train-err:0.140500 train-nlik:0.544658 valid-err:0.141900 valid-nlik:0.544124 test-err:0.133300 test-nlik:0.531518
[85] train-err:0.140260 train-nlik:0.544060 valid-err:0.141100 valid-nlik:0.543271 test-err:0.133200 test-nlik:0.530829
[86] train-err:0.139080 train-nlik:0.544285 valid-err:0.140300 valid-nlik:0.543444 test-err:0.132400 test-nlik:0.531339
[87] train-err:0.139820 train-nlik:0.546248 valid-err:0.140500 valid-nlik:0.545310 test-err:0.133600 test-nlik:0.533093
[88] train-err:0.140440 train-nlik:0.546565 valid-err:0.141200 valid-nlik:0.545555 test-err:0.134000 test-nlik:0.532867
[89] train-err:0.140820 train-nlik:0.547485 valid-err:0.141700 valid-nlik:0.546353 test-err:0.134100 test-nlik:0.533739
[90] train-err:0.141280 train-nlik:0.548940 valid-err:0.141900 valid-nlik:0.547911 test-err:0.135900 test-nlik:0.535415
[91] train-err:0.141240 train-nlik:0.549128 valid-err:0.141400 valid-nlik:0.548001 test-err:0.136000 test-nlik:0.535572
[92] train-err:0.141800 train-nlik:0.550862 valid-err:0.142100 valid-nlik:0.549574 test-err:0.136300 test-nlik:0.537010
[93] train-err:0.143160 train-nlik:0.553949 valid-err:0.142200 valid-nlik:0.552556 test-err:0.136300 test-nlik:0.540169
[94] train-err:0.143360 train-nlik:0.554694 valid-err:0.143400 valid-nlik:0.553461 test-err:0.136800 test-nlik:0.540945
[95] train-err:0.143060 train-nlik:0.554178 valid-err:0.143100 valid-nlik:0.553088 test-err:0.137500 test-nlik:0.540513
[96] train-err:0.143260 train-nlik:0.553081 valid-err:0.143400 valid-nlik:0.552013 test-err:0.137200 test-nlik:0.539614
[97] train-err:0.142940 train-nlik:0.553911 valid-err:0.142700 valid-nlik:0.552669 test-err:0.137800 test-nlik:0.540671
[98] train-err:0.143020 train-nlik:0.553410 valid-err:0.142300 valid-nlik:0.552267 test-err:0.137400 test-nlik:0.540170
[99] train-err:0.143240 train-nlik:0.554545 valid-err:0.143500 valid-nlik:0.553358 test-err:0.137800 test-nlik:0.541504
[100] train-err:0.143220 train-nlik:0.554058 valid-err:0.143900 valid-nlik:0.552709 test-err:0.137100 test-nlik:0.540621
