[49] train-err:0.089580 train-nlik:0.327763 valid-err:0.088200 valid-nlik:0.331051 test-err:0.088600 test-nlik:0.317841
[50] train-err:0.088980 train-nlik:0.327803 valid-err:0.086700 valid-nlik:0.330472 test-err:0.088500 test-nlik:0.318941
[51] train-err:0.088800 train-nlik:0.326905 valid-err:0.087500 valid-nlik:0.329687 test-err:0.087900 test-nlik:0.318757
[52] train-err:0.088660 train-nlik:0.326333 valid-err:0.087100 valid-nlik:0.329358 test-err:0.086800 test-nlik:0.318175
[53] train-err:0.088120 train-nlik:0.325346 valid-err:0.087700 valid-nlik:0.328347 test-err:0.087700 test-nlik:0.316833
[54] train-err:0.087880 train-nlik:0.324552 valid-err:0.086300 valid-nlik:0.327407 test-err:0.086300 test-nlik:0.315815
[55] train-err:0.087560 train-nlik:0.323523 valid-err:0.085500 valid-nlik:0.326351 test-err:0.085500 test-nlik:0.314636
[56] train-err:0.087540 train-nlik:0.322642 valid-err:0.085400 valid-nlik:0.325658 test-err:0.084800 test-nlik:0.313653
[57] train-err:0.087240 train-nlik:0.321818 valid-err:0.085800 valid-nlik:0.324926 test-err:0.084400 test-nlik:0.312809
[58] train-err:0.087300 train-nlik:0.320921 valid-err:0.085600 valid-nlik:0.324070 test-err:0.084200 test-nlik:0.312006
[59] train-err:0.087080 train-nlik:0.320114 valid-err:0.085900 valid-nlik:0.323307 test-err:0.084700 test-nlik:0.311339
[60] train-err:0.086920 train-nlik:0.319379 valid-err:0.085800 valid-nlik:0.322498 test-err:0.083900 test-nlik:0.310681
[61] train-err:0.086800 train-nlik:0.318636 valid-err:0.085600 valid-nlik:0.321693 test-err:0.083600 test-nlik:0.310019
[62] train-err:0.086520 train-nlik:0.317897 valid-err:0.085600 valid-nlik:0.320958 test-err:0.083700 test-nlik:0.309358
[63] train-err:0.086480 train-nlik:0.317176 valid-err:0.085300 valid-nlik:0.320221 test-err:0.084200 test-nlik:0.308700
[64] train-err:0.086180 train-nlik:0.316515 valid-err:0.084800 valid-nlik:0.319521 test-err:0.084200 test-nlik:0.308096
[65] train-err:0.086120 train-nlik:0.315918 valid-err:0.084900 valid-nlik:0.318868 test-err:0.084000 test-nlik:0.307593
[66] train-err:0.086160 train-nlik:0.315373 valid-err:0.085000 valid-nlik:0.318276 test-err:0.084000 test-nlik:0.307217
[67] train-err:0.086200 train-nlik:0.314781 valid-err:0.084900 valid-nlik:0.317622 test-err:0.084100 test-nlik:0.306756
[68] train-err:0.086160 train-nlik:0.314177 valid-err:0.084500 valid-nlik:0.316995 test-err:0.083500 test-nlik:0.306297
[69] train-err:0.086020 train-nlik:0.313544 valid-err:0.084600 valid-nlik:0.316395 test-err:0.083100 test-nlik:0.305840
[70] train-err:0.085760 train-nlik:0.312869 valid-err:0.084600 valid-nlik:0.315777 test-err:0.083000 test-nlik:0.305363
[71] train-err:0.085460 train-nlik:0.312253 valid-err:0.084500 valid-nlik:0.315212 test-err:0.082900 test-nlik:0.304943
[72] train-err:0.085060 train-nlik:0.311660 valid-err:0.084500 valid-nlik:0.314660 test-err:0.083200 test-nlik:0.304515
[73] train-err:0.084800 train-nlik:0.311085 valid-err:0.083700 valid-nlik:0.314184 test-err:0.083100 test-nlik:0.304063
[74] train-err:0.084580 train-nlik:0.310496 valid-err:0.083300 valid-nlik:0.313665 test-err:0.083100 test-nlik:0.303596
[75] train-err:0.084500 train-nlik:0.309916 valid-err:0.083000 valid-nlik:0.313121 test-err:0.082900 test-nlik:0.303122
[76] train-err:0.084320 train-nlik:0.309401 valid-err:0.082600 valid-nlik:0.312655 test-err:0.082700 test-nlik:0.302659
[77] train-err:0.084200 train-nlik:0.308856 valid-err:0.082900 valid-nlik:0.312171 test-err:0.082900 test-nlik:0.302170
[78] train-err:0.083920 train-nlik:0.308314 valid-err:0.082900 valid-nlik:0.311683 test-err:0.082800 test-nlik:0.301659
[79] train-err:0.083700 train-nlik:0.307747 valid-err:0.083100 valid-nlik:0.311181 test-err:0.082600 test-nlik:0.301100
[80] train-err:0.083500 train-nlik:0.307200 valid-err:0.083200 valid-nlik:0.310675 test-err:0.082600 test-nlik:0.300579
[81] train-err:0.083400 train-nlik:0.306679 valid-err:0.083500 valid-nlik:0.310201 test-err:0.082600 test-nlik:0.300078
[82] train-err:0.083200 train-nlik:0.306173 valid-err:0.083400 valid-nlik:0.309793 test-err:0.082600 test-nlik:0.299592
[83] train-err:0.083180 train-nlik:0.305677 valid-err:0.083500 valid-nlik:0.309403 test-err:0.082500 test-nlik:0.299125
[84] train-err:0.083040 train-nlik:0.305154 valid-err:0.083700 valid-nlik:0.308961 test-err:0.081900 test-nlik:0.298618
[85] train-err:0.082960 train-nlik:0.304625 valid-err:0.083500 valid-nlik:0.308503 test-err:0.081500 test-nlik:0.298158
[86] train-err:0.082800 train-nlik:0.304056 valid-err:0.083500 valid-nlik:0.308047 test-err:0.081500 test-nlik:0.297677
[87] train-err:0.082760 train-nlik:0.303507 valid-err:0.083200 valid-nlik:0.307565 test-err:0.081600 test-nlik:0.297222
[88] train-err:0.082640 train-nlik:0.302975 valid-err:0.082800 valid-nlik:0.307079 test-err:0.081400 test-nlik:0.296790
[89] train-err:0.082660 train-nlik:0.302466 valid-err:0.082600 valid-nlik:0.306608 test-err:0.080900 test-nlik:0.296383
[90] train-err:0.082460 train-nlik:0.301957 valid-err:0.082400 valid-nlik:0.306144 test-err:0.081100 test-nlik:0.295936
[91] train-err:0.082260 train-nlik:0.301463 valid-err:0.082500 valid-nlik:0.305716 test-err:0.081000 test-nlik:0.295539
[92] train-err:0.082200 train-nlik:0.300963 valid-err:0.082100 valid-nlik:0.305285 test-err:0.080900 test-nlik:0.295120
[93] train-err:0.082100 train-nlik:0.300443 valid-err:0.082000 valid-nlik:0.304821 test-err:0.081200 test-nlik:0.294676
[94] train-err:0.082060 train-nlik:0.299901 valid-err:0.082000 valid-nlik:0.304346 test-err:0.081100 test-nlik:0.294172
[95] train-err:0.081940 train-nlik:0.299367 valid-err:0.082000 valid-nlik:0.303877 test-err:0.080900 test-nlik:0.293708
[96] train-err:0.081760 train-nlik:0.298852 valid-err:0.081900 valid-nlik:0.303422 test-err:0.080800 test-nlik:0.293259
[97] train-err:0.081680 train-nlik:0.298319 valid-err:0.081700 valid-nlik:0.302946 test-err:0.080500 test-nlik:0.292746
[98] train-err:0.081560 train-nlik:0.297788 valid-err:0.081400 valid-nlik:0.302469 test-err:0.080300 test-nlik:0.292224
[99] train-err:0.081360 train-nlik:0.297250 valid-err:0.081400 valid-nlik:0.302005 test-err:0.079800 test-nlik:0.291717
[100] train-err:0.081140 train-nlik:0.296689 valid-err:0.080900 valid-nlik:0.301508 test-err:0.079800 test-nlik:0.291189
[101] train-err:0.080820 train-nlik:0.296140 valid-err:0.080900 valid-nlik:0.301002 test-err:0.079800 test-nlik:0.290692
[102] train-err:0.080680 train-nlik:0.295589 valid-err:0.081100 valid-nlik:0.300487 test-err:0.079400 test-nlik:0.290170
[103] train-err:0.080540 train-nlik:0.295048 valid-err:0.081100 valid-nlik:0.299999 test-err:0.079500 test-nlik:0.289681
[104] train-err:0.080360 train-nlik:0.294523 valid-err:0.081000 valid-nlik:0.299527 test-err:0.079800 test-nlik:0.289192
